5.0	Un avion decolează.	Un avion este în curs de decolare.
3.8	Un bărbat cântă la un flaut mare.	Un bărbat cântă la un flaut.
3.8	Un bărbat pune brânză mărunțită pe o pizza.	Un bărbat pune brânză mărunțită pe o pizza negătită.
2.6	Trei bărbați joacă șah.	Doi bărbați joacă șah.
4.25	Un bărbat cântă la violoncel.	Un bărbat stând jos cântă la violoncel.
4.25	Niște bărbați se luptă.	Doi bărbați se luptă.
0.5	Un bărbat fumează.	Un bărbat patinează.
1.6	Bărbatul cântă la pian.	Bărbatul cântă la o chitară.
2.2	Un bărbat cântă la chitară și voce.	O femeie cântă la chitară acustică și voce.
5.0	O persoană aruncă o pisică spre tavan.	O persoană aruncă o pisică către tavan.
4.2	Bărbatul l-a lovit pe celălalt bărbat cu un băț.	Bărbatul l-a plesnit pe celălalt bărbat cu un băț.
4.6	O femeie ridică și ține un pui de cangur.	O femeie ridică și ține în brațe un pui de cangur.
3.867	Un bărbat cântă la un flaut.	Un bărbat cântă la un flaut de bambus.
4.667	O persoană împăturește o bucată de hârtie.	Cineva împăturește o bucată de hârtie.
1.667	Un bărbat aleargă pe drum.	Un câine panda aleargă pe drum.
3.75	Un câine încearcă să dea jos șuncă de pe spatele lui.	Un câine încearcă să mănânce șunca de pe spatele lui.
5.0	Ursul polar alunecă pe zăpadă.	Un urs polar alunecă de-a lungul zăpadezii.
0.5	O femeie scrie.	O femeie înoată.
3.8	O pisică se freacă de fața bebelușului.	O pisică se freacă de un bebeluș.
5.0	Barbatul călărește un cal.	Un bărbat calareste pe un cal.
3.2	Un barbat toarnă ulei într-o oală.	Un barbat toarnă vin într-o oală.
2.8	Un bărbat cântă la o chitară.	O fată cântă la o chitară.
4.6	Un panda alunecă pe un tobogan.	Un panda alunecă pe un tobogan.
3.0	O femeie mănâncă ceva.	O femeie mănâncă carne.
5.0	O femeie curăță un cartof.	O femeie curăță un cartof.
4.8	Băiatul a căzut de pe bicicletă.	Un băiat cade de pe bicicletă.
5.0	Femeia cântă la flaut.	O femeie cântă la un flaut.
4.2	Un iepure fuge de un vultur.	Un iepure de câmp fuge de un vultur.
4.2	Femeia prăjește un cotlet de porc.	O femeie gătește un cotlet de porc.
4.0	O fată înalță un zmeu.	O fată aleargă și înalță un zmeu.
4.0	Un bărbat călărește un taur mecanic.	Un bărbat a călărit un taur mecanic.
4.909	Bărbatul cântă la chitară.	Un bărbat cântă la o chitară.
3.0	O femeie dansează și cântă cu alte femei.	O femeie dansează și cântă în ploaie.
2.4	Un bărbat taie o chiflă.	Un bărbat taie o ceapă.
4.2	Un bărbat toarnă ulei într-o tigaie.	Un bărbat toarnă ulei într-o cratiță.
3.4	Un leu se joacă cu niște oameni.	Un leu se joacă cu doi bărbați.
5.0	Un câine merge pe skateboard.	Un câine merge pe un skateboard.
3.75	Cineva sculptează o statuie.	Un bărbat sculptează o statuie.
2.75	O femeie taie o ceapă.	Un bărbat tăie o ceapă.
5.0	O femeie curăță creveți.	O femeie curăță creveți.
4.0	O femeie prăjește pește.	O femeie gătește pește.
3.6	O femeie cântă la o chitară electrică.	O femeie cântă la o chitară.
1.6	Un pui de tigru se joacă cu o minge.	Un bebeluș se joacă cu o păpușă.
1.75	O persoană taie o roșie.	O persoană taie niște carne.
5.0	O persoană taie o ceapă.	O persoană taie o ceapă.
1.0	Un bărbat cântă la pian.	O femeie cântă la vioară.
1.0	O femeie cântă la flaut.	Un bărbat cântă la chitară.
2.375	Un bărbat tăie un cartof.	Un bărbat taie morcovi.
3.8	Un copil cântă la chitară.	Un băiat cântă la o chitară.
3.2	Un băiat cântă la chitară.	Un bărbat cântă la o chitară.
3.2	Un bărbat cântă la chitară.	Un băiat cântă la o chitară.
4.4	Un băiețel cântă la clape.	Un băiat cântă la clape.
3.75	Un bărbat cântă la o chitară.	Un bărbat cântă la o chitară electrică.
4.75	Un câine linge un bebeluș.	Un câine linge un bebeluș.
3.2	O femeie feliază o ceapă.	Un bărbat tăie o ceapă.
1.556	Un bărbat cântă la chitară.	Un bărbat cântă la tobe.
3.938	O femeie feliază un ardei.	O femeie taie un ardei roșu.
5.0	Un bărbat cântă la tobe.	Un bărbat cântă la tobă.
5.0	O femeie călărește un cal.	O femeie călărește un cal.
4.0	Un bărbat mănâncă o banană lângă un copac.	Un bărbat mănâncă o banană.
1.6	O pisică se joacă la tastatură.	Un bărbat cântă la două orgi.
4.75	Un bărbat taie un copac cu un topor.	Un bărbat a tăiat un copac cu un topor.
3.5	Un copil se joacă cu un telefon de jucărie.	Un băiețel se joacă cu un telefon de jucărie.
1.4	Un bărbat merge cu motocicleta.	Un bărbat călărește un cal.
1.4	Un bărbat merge cu motocicleta.	Un bărbat călărește un cal.
4.0	O veveriță se învârte în cerc.	O veveriță aleargă în cerc.
5.0	Un bărbat și o femeie se sărută.	Un bărbat și o femeie se sărută.
3.833	Un bărbat urcă într-o mașină.	Un bărbat urcă într-o mașină într-un garaj.
0.6	Un bărbat dansează.	Un bărbat vorbește.
2.917	Un bărbat cântă la chitară și voce.	Un bărbat cântă la chitară.
4.2	O persoană taie ciuperci.	O persoană taie ciuperci cu un cuțit.
2.0	Un pui de tigru scoate un sunet.	Un tigru se plimba împrejur.
2.6	O persoană feliază niște cepe.	O persoană curăță o ceapă.
1.6	Un bărbat cântă la pian.	Un bărbat cântă la trompetă.
2.0	O femeie curăță un cartof.	O femeie descojește un măr.
4.2	Un panda mănâncă bambus.	Un urs panda mănâncă niște bambus.
2.0	O persoană curăță o ceapă.	O persoană curăță o vânătă.
4.8	O maimuță împinge o altă maimuță.	Maimuța a împins-o pe cealaltă maimuță.
4.4	O veveriță aleargă în cerc.	O veveriță se mișcă în cerc.
5.0	Un bărbat își leagă șireturile.	Un bărbat își leagă șireturile.
3.0	Un băiat cântă la pian și voce.	Un băiat cântă la pian.
4.25	Un câine mănâncă pepene verde.	Un câine mănâncă o bucată de pepene verde.
4.25	O femeie toacă brocoli.	O femeie toacă brocoli cu un cuțit.
3.8	Un bărbat curăță un cartof.	Un bărbat a curățat un cartof.
2.4	O femeie cântă la o chitară.	Un bărbat cântă la o chitară.
1.6	O femeie taie roșii.	Un bărbat taie ceapa.
2.0	Un bărbat înoată sub apă.	O femeie înoată sub apă.
1.6	Un bărbat și o femeie vorbesc.	Un bărbat și o femeie mănâncă.
4.0	Un câine mic aleargă după o minge de yoga.	Un câine aleargă după o minge.
2.2	Bărbații joacă cricket.	Bărbații joacă baschet.
4.4	Un bărbat pleacă pe motocicletă.	Un bărbat merge pe motocicletă.
3.6	Un bărbat cântă la o chitară.	Un bărbat cântă la chitară și voce.
3.6	Bărbatul a vorbit la telefon.	Bărbatul vorbește la telefon.
0.5	Un bărbat pescuiește.	Un bărbat face mișcare.
0.8	Un bărbat levitează.	Un bărbat vorbește.
0.6	Doi băieți conduc.	Doi băieți dansează.
2.6	Un bărbat călărește un cal.	O fată călărește un cal.
2.0	Un bărbat merge cu bicicleta.	O maimuță merge cu bicicleta.
2.2	Un bărbat feliază cartofi.	O femeie curăță cartofi.
2.4	O femeie curăță un cartof.	Un bărbat feliază cartofi.
3.6	Un bărbat cântă la o chitară.	Cineva cântă la chitară.
2.2	O femeie feliază un praz.	O femeie taie ghimbir.
4.8	Omul a tăiat o farfurie de carton.	Un bărbat taie o farfurie de carton.
1.643	Bărbatul cântă la chitară.	Un bărbat cântă la flaut.
1.75	Un bărbat cântă la pian.	Bărbatul cântă la vioară.
2.25	O femeie toacă niște carne.	O femeie pregătește niște carne.
4.0	Un bărbat cântă la clape.	Un bărbat cântă la un pian electric.
4.8	Doamna a tocat cepele verzi.	Doamna a tăiat o ceapă verde.
3.2	Cineva pune tăiței în apă.	O femeie fierbe tăiței în apă.
4.0	Lionel Richie dansează pe tavan.	Lionel Ritchie dansează în picioare pe tavan.
4.4	Un bărbat cântă la un pian.	O persoană cântă la pian.
4.6	O femeie cântă la flaut.	O femeie cântă la un flaut.
3.8	Un băiat verifică un calendar.	Un băiat se uită la un calendar.
4.8	O femeie taie o ceapă.	O femeie toacă niște ceapă.
4.857	Un bărbat cântă la chitară.	Un bărbat cântă la o chitară.
5.0	O femeie folosește o mașină de cusut.	O femeie coase la o mașină.
2.533	O femeie întoarce clătite.	Un bucătar din desene animate întoarce clătite.
1.0	Un bărbat aleargă pe drum.	O mașină circulă pe drum.
1.0	Un bărbat merge călare pe un cal.	Un bărbat vorbește la un telefon.
2.0	Un bărbat merge cu o bicicleta.	Un bărbat merge călare pe un cal.
0.143	O femeie dansează.	Un bărbat mănâncă.
2.0	Un bărbat cântă la pian.	Un bărbat cântă la un flaut.
1.6	Un bărbat cântă la un flaut.	Un bărbat cântă la un pian.
1.6	Un bărbat se învârte.	Un bărbat dansează.
3.4	O maimuță se leagănă de pe un picior pe altul.	O maimuță se leagănă din copac în copac.
4.0	Oamenii au coborât din tren.	Oamenii au coborât din tren la gară.
